Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
AD215,VisualCulture,337,300,377,320,300,False,False,False
AD217,Illustration(portfolio),738,NaN,NaN,,NaN,True,True,True
AD222,InteractionDesign(portfolio),444,NaN,NaN,,NaN,True,True,True
NC003,Computing(DegreeAwardoptions),271,NaN,260,,261,False,False,False
NC005,HumanResourceManagement,301,NaN,300,,297,False,False,False
NC009,Business,300,NaN,300,,297,False,False,False
NC010,Psychology,420,NaN,400,,366,False,False,False
NC020,MarketingPractice,270,NaN,280,,270,False,False,False
NC022,AccountingandFinance,330,NaN,337,,338,False,False,False
NC023,TechnologyManagement(withspecialisations),266,NaN,261,,260,False,False,False
NC030,EarlyChildhoodEducationandCare,251,251,,,,False,,False
RC001,Medicine-UndergraduateEntry(HPATrequired),741,740,733,,729,True,True,True
RC004,Physiotherapy,589,589,566,,532,False,False,False
RC005,Pharmacy,613,613,579,,555,False,False,False
RC101,Medicine-GraduateEntry(GAMSATrequired),NaN,NaN,,,60,False,True,True
NM801,MontessoriEducation,262,NaN,220,,,False,False,False
NM802,Psychology,228,NaN,,,,False,,False
TU801,SustainableEnergyEngineering,235,NaN,235,,,False,False,False
TU802,ElectricalServicesandEnergyManagement,309,NaN,317,300,,False,False,False
TU804,Engineering(CommonEntrywithAwardoptions),270,NaN,271,,,False,False,False
TU805,Engineering(GeneralEntry),466,465,402,,,False,False,False
TU807,ComputerEngineeringinMobileSystems,274,NaN,276,,,False,False,False
TU810,MechatronicEngineering,271,NaN,270,,,False,False,False
TU811,ProductDesign,440,434,411,,,False,False,False
TU812,DesignTechnologyandInnovation,278,NaN,270,,,False,False,False
TU814,SustainableTransportManagement,253,253,285,251,,False,False,False
TU828,MechanicalEngineering(GeneralEntry),300,NaN,,,,False,,False
TU829,ElectronicEngineering(GeneralEntry),248,248,,,,False,,False
TU831,ArchitecturalTechnology,423,NaN,410,,,False,False,False
TU832,Architecture(SuitabilityTestandInterview),644,638,622,,,True,True,False
TU833,ConstructionManagement,396,NaN,367,,,False,False,False
TU834,GeographicScience,315,NaN,288,,,False,False,False
TU835,PlanningandEnvironmentalManagement,330,NaN,313,,,False,False,False
TU836,PropertyEconomics(ValuationSurveying),411,NaN,401,,,False,False,False
TU837,QuantitySurveyingandConstructionEconomics,413,NaN,385,,,False,False,False
TU838,SustainableTimberTechnology,307,271,,,,False,,False
TU851,AnalyticalChemistry(EnvironmentalForensicand,400,NaN,349,,,False,False,False
TU852,ChemicalScienceswithMedicinalChemistry,477,NaN,476,,,False,False,False
TU854,Science(GeneralEntry),510,NaN,476,,,False,False,False
TU855,SciencewithNanotechnology,322,NaN,331,319,,False,False,False
TU856,ComputerScience,499,NaN,476,,,False,False,False
TU857,ComputerScience(Infrastructure),403,NaN,391,,,False,False,False
TU858,ComputerScience(International),395,NaN,377,,,False,False,False
TU859,Computing,251,NaN,217,234,,False,False,False
TU860,Computing(InformationTechnology),270,NaN,260,,,False,False,False
TU861,ComputingwithLanguage(French/German/Spanish),235,235,308,308,,False,False,False
TU862,ComputingwithArtificialIntelligenceMachineLea,262,NaN,226,226,,False,False,False
TU863,DigitalForensicsandCyberSecurity,282,NaN,280,,,False,False,False
TU864,DNAandForensicAnalysis,500,441,400,390,,False,False,False
TU865,CloudComputing,235,NaN,226,,,False,False,False
TU866,BiomedicalandMolecularDiagnostics,522,NaN,487,,,False,False,False
TU867,BiomedicalScience,576,566,524,,,False,False,False
TU868,ClinicalMeasurementScience,542,NaN,510,,,False,False,False
TU869,EnvironmentalHealth,387,NaN,336,,,False,False,False
TU870,HumanNutritionandDietetics,601,NaN,578,,,False,False,False
TU871,Optometry,532,NaN,509,,,False,False,False
TU872,PublicHealthNutrition,487,NaN,491,,,False,False,False
TU874,MathematicalSciences,294,294,341,,,False,False,False
TU875,PharmaceuticalHealthcare,451,NaN,400,,,False,False,False
TU876,PharmaceuticalScience,445,NaN,377,349,,False,False,False
TU877,PhysicsTechnology,314,314,308,,,False,False,False
TU878,PhysicswithEnergyandEnvironment,339,NaN,337,337,,False,False,False
TU879,PhysicswithMedicalPhysicsandBioengineering,346,NaN,351,,,False,False,False
TU880,PhysicswithDataScience,412,NaN,578,,,False,False,False
TU881,FoodInnovation,309,NaN,318,,,False,False,False
TU882,NutraceuticalsinHealthandNutrition,380,NaN,397,,,False,False,False
TU902,Business(options),270,NaN,271,,,False,False,False
TU903,BusinessandManagement,477,NaN,463,,,False,False,False
TU904,BusinessandLaw,462,NaN,462,,,False,False,False
TU905,EconomicsandFinance,460,NaN,465,,,False,False,False
TU906,HumanResourceManagement,386,377,395,,,False,False,False
TU907,LogisticsandSupplyChainManagement,300,NaN,300,,,False,False,False
TU910,Accounting,420,NaN,444,,,False,False,False
TU912,BusinessAnalytics,331,311,330,,,False,False,False
TU914,BusinessComputing,322,NaN,324,,,False,False,False
TU917,Law(LLB)withaLanguage,356,NaN,342,,,False,False,False
TU918,Law(LLB),463,NaN,451,,,False,False,False
TU919,AdvertisingandMarketingCommunications,219,NaN,228,226,,False,False,False
TU920,DigitalMarketing,270,NaN,270,,,False,False,False
TU921,DigitalMarketingTechnologies,230,NaN,212,212,,False,False,False
TU922,Marketing,412,NaN,418,,,False,False,False
TU924,E-CommerceinRetailing,307,NaN,307,,,False,False,False
TU925,RetailandServicesManagement,307,NaN,301,,,False,False,False
TU932,Business(options),211,NaN,,,,False,,False
TU933,AccountingandFinance(campusoptions),251,NaN,,,,False,,False
TU935,SportsManagementandCoaching,300,NaN,300,,,False,False,False
TU936,SportsScienceandHealth,484,NaN,410,391,,False,False,False
TU941,BotanicalCuisine,311,NaN,249,,,False,False,False
TU942,CulinaryArts,252,NaN,212,212,,False,False,False
TU943,CulinaryEntrepreneurship,261,NaN,278,,,False,False,False
TU944,CulinaryScience,336,NaN,316,,,False,False,False
TU951,InternationalHospitalityandTourismManagement,244,NaN,184,184,,False,False,False
